,ss,sod,sdd,dd,condition_no
449,5,20,36,5,8333985.98211818
450,5,20,37,0,91970362.2259943
451,5,20,37,1,70203791.585926
452,5,20,37,2,19516449.5134012
453,5,20,37,3,13582202.8922247
454,5,20,37,4,32644339.7013748
455,5,20,37,5,8965352.71364949
456,5,20,38,0,91970362.2259943
457,5,20,38,1,60245624.7774005
458,5,20,38,2,20472406.3201522
459,5,20,38,3,6582045.72992409
460,5,20,38,4,6034152.74591506
461,5,20,38,5,8179795.09905197
462,5,20,39,0,91970362.2259943
463,5,20,39,1,52810486.3960469
464,5,20,39,2,20080637.0427603
465,5,20,39,3,7536117.59708203
466,5,20,39,4,6997743.92490578
467,5,20,39,5,28824298.1571117
468,5,20,40,0,91970362.2259943
469,5,20,40,1,44969157.111554
470,5,20,40,2,19860859.8352203
471,5,20,40,3,7932873.83241545
472,5,20,40,4,7428113.26936759
473,5,20,40,5,16184488.308182
474,5,20,41,0,91970362.2259943
475,5,20,41,1,44961067.1156176
476,5,20,41,2,27579724.7142569
477,5,20,41,3,7933521.11334135
478,5,20,41,4,7224273.62119565
479,5,20,41,5,34703595.7771526
480,5,20,42,0,91970362.2259943
481,5,20,42,1,43490754.3543105
482,5,20,42,2,35508806.9229995
483,5,20,42,3,6984786.07440267
484,5,20,42,4,6886033.66393633
485,5,20,42,5,20857387.9992869
486,5,20,43,0,91970362.2259943
487,5,20,43,1,42451113.2017096
488,5,20,43,2,47905429.6676026
489,5,20,43,3,7516557.84871148
490,5,20,43,4,7507229.12265953
491,5,20,43,5,25918427.555888
492,5,20,44,0,91970362.2259943
493,5,20,44,1,33878795.7170884
494,5,20,44,2,61842725.8783578
495,5,20,44,3,14174668.7986517
496,5,20,44,4,7521840.78442788
497,5,20,44,5,26597351.2836306
498,5,20,45,0,91970362.2259943
499,5,20,45,1,35005359.3226448
500,5,20,45,2,64775490.7632611
501,5,20,45,3,22905387.996704
502,5,20,45,4,7444406.33925753
503,5,20,45,5,22241455.5341195
504,5,21,32,0,91970362.2259943
505,5,21,32,1,180533584.611066
506,5,21,32,2,31560572.2498978
507,5,21,32,3,7321062.87064752
508,5,21,32,4,8514788.75275815
509,5,21,32,5,8820944.27251839
510,5,21,33,0,91970362.2259943
511,5,21,33,1,193639638.139747
512,5,21,33,2,35529300.4926244
513,5,21,33,3,7568960.85103381
514,5,21,33,4,8264010.17434577
515,5,21,33,5,17328640.7808596
516,5,21,34,0,91970362.2259943
517,5,21,34,1,166156859.94158
518,5,21,34,2,29977416.4050593
519,5,21,34,3,6873495.94820037
520,5,21,34,4,24918637.2071782
521,5,21,34,5,13325134.0827001
522,5,21,35,0,91970362.2259943
523,5,21,35,1,134966570.976817
524,5,21,35,2,23561478.3669407
525,5,21,35,3,7933145.1434557
526,5,21,35,4,29954689.2412
527,5,21,35,5,15010658.3093872
528,5,21,36,0,91970362.2259943
529,5,21,36,1,95518892.0049303
530,5,21,36,2,19302326.0886764
